year_index,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,genres,movie_title,num_voted_users,cast_total_facebook_likes,movie_imdb_link,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,movie_facebook_likes,profit,foreign_film,origin,origin_language
2009-01-01,723.0,178.0,0.0,855.0,1000.0,760505847.0,Action|Adventure|Fantasy|Sci-Fi,Avatar ,886204,4834,http://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,3054.0,English,USA,PG-13,237000000.0,2009.0,936.0,7.9,33000,523505847.0,USA,American,English
2007-01-01,302.0,169.0,563.0,1000.0,40000.0,309404152.0,Action|Adventure|Fantasy,Pirates of the Caribbean: At World's End ,471220,48350,http://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,1238.0,English,USA,PG-13,300000000.0,2007.0,5000.0,7.1,0,9404152.0,USA,American,English
2015-01-01,602.0,148.0,0.0,161.0,11000.0,200074175.0,Action|Adventure|Thriller,Spectre ,275868,11700,http://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,994.0,English,UK,PG-13,245000000.0,2015.0,393.0,6.8,85000,-44925825.0,UK,Foreign,English
2012-01-01,813.0,164.0,22000.0,23000.0,27000.0,448130642.0,Action|Thriller,The Dark Knight Rises ,1144337,106759,http://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2701.0,English,USA,PG-13,250000000.0,2012.0,23000.0,8.5,164000,198130642.0,USA,American,English
2012-01-01,462.0,132.0,475.0,530.0,640.0,73058679.0,Action|Adventure|Sci-Fi,John Carter ,212204,1873,http://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,738.0,English,USA,PG-13,263700000.0,2012.0,632.0,6.6,24000,-190641321.0,USA,American,English
2007-01-01,392.0,156.0,0.0,4000.0,24000.0,336530303.0,Action|Adventure|Romance,Spider-Man 3 ,383056,46055,http://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,1902.0,English,USA,PG-13,258000000.0,2007.0,11000.0,6.2,0,78530303.0,USA,American,English
2010-01-01,324.0,100.0,15.0,284.0,799.0,200807262.0,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled ,294810,2036,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,387.0,English,USA,PG,260000000.0,2010.0,553.0,7.8,29000,-59192738.0,USA,American,English
2015-01-01,635.0,141.0,0.0,19000.0,26000.0,458991599.0,Action|Adventure|Sci-Fi,Avengers: Age of Ultron ,462669,92000,http://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,1117.0,English,USA,PG-13,250000000.0,2015.0,21000.0,7.5,118000,208991599.0,USA,American,English
2009-01-01,375.0,153.0,282.0,10000.0,25000.0,301956980.0,Adventure|Family|Fantasy|Mystery,Harry Potter and the Half-Blood Prince ,321795,58753,http://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,973.0,English,UK,PG,250000000.0,2009.0,11000.0,7.5,10000,51956980.0,UK,Foreign,English
2016-01-01,673.0,183.0,0.0,2000.0,15000.0,330249062.0,Action|Adventure|Sci-Fi,Batman v Superman: Dawn of Justice ,371639,24450,http://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,3018.0,English,USA,PG-13,250000000.0,2016.0,4000.0,6.9,197000,80249062.0,USA,American,English
2006-01-01,434.0,169.0,0.0,903.0,18000.0,200069408.0,Action|Adventure|Sci-Fi,Superman Returns ,240396,29991,http://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2367.0,English,USA,PG-13,209000000.0,2006.0,10000.0,6.1,0,-8930592.0,USA,American,English
2008-01-01,403.0,106.0,395.0,393.0,451.0,168368427.0,Action|Adventure,Quantum of Solace ,330784,2023,http://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,1243.0,English,UK,PG-13,200000000.0,2008.0,412.0,6.7,0,-31631573.0,UK,Foreign,English
2006-01-01,313.0,151.0,563.0,1000.0,40000.0,423032628.0,Action|Adventure|Fantasy,Pirates of the Caribbean: Dead Man's Chest ,522040,48486,http://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,1832.0,English,USA,PG-13,225000000.0,2006.0,5000.0,7.3,5000,198032628.0,USA,American,English
